,Metric,English,Comments
 ,"10.0 MPa @Temperature 850 °C,
Time 3.60e+8 sec","1450 psi @Temperature 1560 °F,
Time 100000 hour",
 ,"11.0 MPa @Temperature 925 °C,
Time 3.60e+7 sec","1600 psi @Temperature 1700 °F,
Time 10000 hour",
 ,"12.0 MPa @Temperature 825 °C,
Time 3.60e+8 sec","1740 psi @Temperature 1520 °F,
Time 100000 hour",
 ,"13.0 MPa @Temperature 900 °C,
Time 3.60e+7 sec","1890 psi @Temperature 1650 °F,
Time 10000 hour",
 ,"15.0 MPa @Temperature 800 °C,
Time 3.60e+8 sec","2180 psi @Temperature 1470 °F,
Time 100000 hour",
 ,"15.0 MPa @Temperature 875 °C,
Time 3.60e+7 sec","2180 psi @Temperature 1610 °F,
Time 10000 hour",
 ,"18.0 MPa @Temperature 850 °C,
Time 3.60e+7 sec","2610 psi @Temperature 1560 °F,
Time 10000 hour",
 ,"18.0 MPa @Temperature 775 °C,
Time 3.60e+8 sec","2610 psi @Temperature 1430 °F,
Time 100000 hour",
 ,"22.0 MPa @Temperature 750 °C,
Time 3.60e+8 sec","3190 psi @Temperature 1380 °F,
Time 100000 hour",
 ,"22.0 MPa @Temperature 825 °C,
Time 3.60e+7 sec","3190 psi @Temperature 1520 °F,
Time 10000 hour",
 ,"27.0 MPa @Temperature 800 °C,
Time 3.60e+7 sec","3920 psi @Temperature 1470 °F,
Time 10000 hour",
 ,"27.0 MPa @Temperature 725 °C,
Time 3.60e+8 sec","3920 psi @Temperature 1340 °F,
Time 100000 hour",
 ,"33.0 MPa @Temperature 700 °C,
Time 3.60e+8 sec","4790 psi @Temperature 1290 °F,
Time 100000 hour",
 ,"33.0 MPa @Temperature 775 °C,
Time 3.60e+7 sec","4790 psi @Temperature 1430 °F,
Time 10000 hour",
 ,"41.0 MPa @Temperature 750 °C,
Time 3.60e+7 sec","5950 psi @Temperature 1380 °F,
Time 10000 hour",
 ,"43.0 MPa @Temperature 675 °C,
Time 3.60e+8 sec","6240 psi @Temperature 1250 °F,
Time 100000 hour",
 ,"50.0 MPa @Temperature 725 °C,
Time 3.60e+7 sec","7250 psi @Temperature 1340 °F,
Time 10000 hour",
 ,"52.0 MPa @Temperature 650 °C,
Time 3.60e+8 sec","7540 psi @Temperature 1200 °F,
Time 100000 hour",
 ,"62.0 MPa @Temperature 700 °C,
Time 3.60e+7 sec","8990 psi @Temperature 1290 °F,
Time 10000 hour",
 ,"64.0 MPa @Temperature 625 °C,
Time 3.60e+8 sec","9280 psi @Temperature 1160 °F,
Time 100000 hour",
 ,"76.0 MPa @Temperature 675 °C,
Time 3.60e+7 sec","11000 psi @Temperature 1250 °F,
Time 10000 hour",
 ,"82.0 MPa @Temperature 600 °C,
Time 3.60e+8 sec","11900 psi @Temperature 1110 °F,
Time 100000 hour",
 ,"97.0 MPa @Temperature 650 °C,
Time 3.60e+7 sec","14100 psi @Temperature 1200 °F,
Time 10000 hour",
 ,"102 MPa @Temperature 575 °C,
Time 3.60e+8 sec","14800 psi @Temperature 1070 °F,
Time 100000 hour",
 ,"112 MPa @Temperature 625 °C,
Time 3.60e+7 sec","16200 psi @Temperature 1160 °F,
Time 10000 hour",
 ,"128 MPa @Temperature 550 °C,
Time 3.60e+8 sec","18600 psi @Temperature 1020 °F,
Time 100000 hour",
 ,"138 MPa @Temperature 600 °C,
Time 3.60e+7 sec","20000 psi @Temperature 1110 °F,
Time 10000 hour",
 ,"138 MPa @Temperature 600 °C,
Time 3.60e+7 sec","20000 psi @Temperature 1110 °F,
Time 10000 hour",
 ,"162 MPa @Temperature 525 °C,
Time 3.60e+8 sec","23500 psi @Temperature 977 °F,
Time 100000 hour",
 ,"167 MPa @Temperature 575 °C,
Time 3.60e+7 sec","24200 psi @Temperature 1070 °F,
Time 10000 hour",
Magnetic Permeability ,1.003,1.003,
Specific Heat Capacity  ,"0.490 J/g-°C @Temperature 20.0 °C","0.117 BTU/lb-°F @Temperature 68.0 °F",
 ,"0.515 J/g-°C @Temperature 100 °C","0.123 BTU/lb-°F @Temperature 212 °F",
 ,"0.515 J/g-°C @Temperature 100 °C","0.123 BTU/lb-°F @Temperature 212 °F",
 ,"0.540 J/g-°C @Temperature 200 °C","0.129 BTU/lb-°F @Temperature 392 °F",
 ,"0.565 J/g-°C @Temperature 300 °C","0.135 BTU/lb-°F @Temperature 572 °F",
 ,"0.565 J/g-°C @Temperature 300 °C","0.135 BTU/lb-°F @Temperature 572 °F",
 ,"0.580 J/g-°C @Temperature 400 °C","0.139 BTU/lb-°F @Temperature 752 °F",
 ,"0.600 J/g-°C @Temperature 500 °C","0.143 BTU/lb-°F @Temperature 932 °F",
 ,"0.600 J/g-°C @Temperature 500 °C","0.143 BTU/lb-°F @Temperature 932 °F",
 ,"0.615 J/g-°C @Temperature 600 °C","0.147 BTU/lb-°F @Temperature 1110 °F",
 ,"0.630 J/g-°C @Temperature 700 °C","0.151 BTU/lb-°F @Temperature 1290 °F",
 ,"0.630 J/g-°C @Temperature 700 °C","0.151 BTU/lb-°F @Temperature 1290 °F",
 ,"0.645 J/g-°C @Temperature 800 °C","0.154 BTU/lb-°F @Temperature 1470 °F",
 ,"0.655 J/g-°C @Temperature 900 °C","0.157 BTU/lb-°F @Temperature 1650 °F",
 ,"0.655 J/g-°C @Temperature 900 °C","0.157 BTU/lb-°F @Temperature 1650 °F",
 ,"0.665 J/g-°C @Temperature 1000 °C","0.159 BTU/lb-°F @Temperature 1830 °F",
 ,"0.680 J/g-°C @Temperature 1100 °C","0.163 BTU/lb-°F @Temperature 2010 °F",
 ,"0.680 J/g-°C @Temperature 1100 °C","0.163 BTU/lb-°F @Temperature 2010 °F",
"Cerium, Ce ",0.050 %,0.050 %,
"Iron, Fe ",65.2 %,65.2 %,As Balance
"Nickel, Ni ",11 %,11 %,
"Phosphorous, P ",<= 0.040 %,<= 0.040 %,
"Sulfur, S ",<= 0.030 %,<= 0.030 %,
