Iron, Fe;Carbon, C;Sulfur, S;Silicon, Si;Phosphorous, P;Manganese, Mn;Chromium, Cr;Nickel, Ni;Molybdenum, Mo;Copper, Cu;Density;Hardness, Vickers;Thermal Conductivity;Specific Heat Capacity;CTE, linear;Electrical Resistivity;Elongation at Break;Bulk Modulus;Modulus of Elasticity;Shear Modulus;Poissons Ratio;Tensile Strength, Yield;Tensile Strength, Ultimate
95.855 - 96.98 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.45 - 0.65 %;0.40 - 0.60 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;NA;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
96.745 - 98.22 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;339;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;16 %;160 GPa;205 GPa;80.0 GPa;0.29;758 MPa;931 MPa
95.855 - 96.98 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.45 - 0.65 %;0.40 - 0.60 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;397;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;14.5 %;160 GPa;205 GPa;80.0 GPa;0.29;1020 MPa;1240 MPa
94.73 %;0.37 %;<= 0.010 %;0.30 %;0%;1.4 %;2.0 %;1.0 %;0.20 %;0%;7.81 g/cc;NA;29.0 W/m-K @Temperature 20.0 C;0.460 J/g-C @Temperature 20.0 C;12.6 m/m-C @Temperature 199 C;NA;NA;NA;205 GPa;NA;NA;800 MPa @Strain 0.200 %;1010 MPa
95.195 - 96.33 %;0.37 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.60 - 0.80 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;361;44.5 W/m-K;0.475 J/g-°C;12.3 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;13.5 %;159 GPa;200 GPa;78.0 GPa;0.29;786 MPa;1220 MPa
97.042 - 98.4495 %;0.12 - 0.18 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.25 - 0.55 %;0.25 - 0.65 %;0.080 - 0.15 %;0%;7.87 g/cc;192;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;NA;160 GPa;200 GPa;80.0 GPa;0.29;NA;NA
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;269;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;20.8 %;160 GPa;205 GPa;80.0 GPa;0.29;580 MPa;876 MPa
96.825 - 98.21 %;0.14 - 0.20 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;245;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;22 %;160 GPa;205 GPa;80.0 GPa;0.29;530 MPa;786 MPa
0%;0.031 %;0%;0.72 %;0%;1.45 %;24.5 %;12.9 %;0%;0%;NA;NA;NA;NA;NA;NA;35 %;NA;NA;NA;NA;410 MPa @Strain 0.200 %;545 MPa
96.692 - 98.0795 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;399;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
93.67 - 95.35 %;0.070 - 0.13 %;<= 0.050 %;0.15 - 0.30 %;0%;0.40 - 0.70 %;1.0 - 1.45 %;2.95 - 3.55 %;0.080 - 0.15 %;0%;7.85 g/cc;301;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;20 %;160 GPa;200 GPa;80.0 GPa;0.29;605 MPa;917 MPa
96.745 - 98.02 %;0.28 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.40 - 0.60 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;254;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;18.7 %;160 GPa;205 GPa;80.0 GPa;0.29;695 MPa;814 MPa
95.195 - 96.33 %;0.37 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.60 - 0.80 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;361;44.5 W/m-K;0.475 J/g-°C;12.3 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;16 %;159 GPa;200 GPa;78.0 GPa;0.29;1103 MPa;1172 MPa
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;217;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;24.3 %;160 GPa;205 GPa;80.0 GPa;0.29;400 MPa;675 MPa
95.175 - 96.27 %;0.38 - 0.43 %;<= 0.020 %;0.15 - 0.30 %;<= 0.025 %;0.65 - 0.85 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;549;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;NA;159 GPa;200 GPa;78.0 GPa;0.29;NA;NA
0%;<= 0.0300 %;<= 0.0150 %;0.50 %;<= 0.0300 %;1.3 %;18.5 %;10 %;0%;0%;7.90 g/cc;NA;15.0 W/m-K @Temperature 20.0 C;0.475 J/g-C @Temperature 20.0 C;16.5 m/m-C @Temperature 30.0 - 100 C;NA;>= 35.0 %;NA;165 GPa @Temperature 500 C;NA;NA;>= 40.0 MPa @Strain 1.00 %;515 - 660 MPa
84.0 - 97.6 %;0.0600 - 1.00 %;0.0100 - 0.0400 %;0.150 - 2.00 %;0.0200 - 0.0400 %;0.250 - 2.00 %;0.350 - 14.0 %;0.300 - 9.50 %;0.300 - 1.30 %;0%;6.60 - 7.86 g/cc;219 - 661;52.0 W/m-K;0.470 J/g-°C;10.6 - 14.7 µm/m-°C;0.0000170 - 0.0000650 ohm-cm;7.00 - 30.0 %;160 GPa;200 - 207 GPa;80.0 GPa;0.29;203 - 2000 MPa;372 - 2310 MPa
0%;<= 0.0200 %;<= 0.0200 %;0.40 %;<= 0.0200 %;1.5 %;19 %;14 %;3.6 %;<= 0.300 %;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
75.47 %;0.030 %;0%;0%;0%;0.30 %;12 %;9.2 %;1.4 %;0%;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
94.4 %;0.25 %;0%;1.5 %;0%;1.35 %;0.30 %;1.8 %;0.40 %;0%;7.78 g/cc;NA;37.49 W/m-K;NA;11.3 µm/m-°C @Temperature 18.0 - 93.0 °C;NA;5.0 %;NA;NA;NA;NA;1276 MPa;1520 MPa
96.007 %;0.12 - 0.21 %;0.040 %;0.20 - 0.35 %;0.035 %;0.45 - 0.70 %;0.85 - 1.2 %;1.2 - 1.5 %;0.45 - 0.60 %;0%;7.75 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;14 %;160 GPa;200 GPa;80.0 GPa;0.29;620 MPa;725 - 930 MPa
96.692 - 98.0795 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;284;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;19.2 %;160 GPa;205 GPa;80.0 GPa;0.29;910 MPa;924 MPa
0%;<= 0.0200 %;<= 0.0200 %;0.40 %;<= 0.0200 %;1.8 %;20 %;10.5 %;<= 0.300 %;<= 0.300 %;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97.022 - 98.4295 %;0.14 - 0.20 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.25 - 0.55 %;0.25 - 0.65 %;0.080 - 0.15 %;0%;7.87 g/cc;NA;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;NA;160 GPa;200 GPa;80.0 GPa;0.29;NA;NA
96.33 - 97.83 %;0.47 - 0.54 %;<= 0.045 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;319;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;14 %;160 GPa;205 GPa;80.0 GPa;0.29;690 MPa;1025 MPa
97 %;0.10 - 0.20 %;0.040 %;0.15 - 0.35 %;0.035 %;0.60 - 1.0 %;0.40 - 0.65 %;0.70 - 1.0 %;0.40 - 0.60 %;0.15 - 0.50 %;7.80 g/cc;NA;NA;NA;NA;NA;18 %;160 GPa;NA;80.0 GPa;NA;690 MPa @Strain 0.200 %;760 - 895 MPa
96.745 - 98.22 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;411;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;13.2 %;160 GPa;205 GPa;80.0 GPa;0.29;1085 MPa;1380 MPa
96.745 - 98.02 %;0.28 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.40 - 0.60 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;302;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;16 %;160 GPa;205 GPa;79.0 GPa;0.30;841 MPa @Strain 0.200 %;979 MPa
96.925 - 98 %;0.20 - 0.25 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;455;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;13.5 %;160 GPa;205 GPa;80.0 GPa;0.29;1149 MPa @Strain 0.200 %;1524 MPa
95.745 - 97.18 %;0.17 - 0.23 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.40 - 0.70 %;0.35 - 0.65 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;440;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;12.5 %;160 GPa;205 GPa;80.0 GPa;0.29;1095 MPa;1490 MPa
96.525 - 97.96 %;0.19 - 0.25 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.30 - 0.40 %;0%;7.85 g/cc;455;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;13.5 %;160 GPa;200 GPa;80.0 GPa;0.29;1149 MPa @Strain 0.200 %;1524 MPa
96 %;0.40 %;0.020 %;0.23 %;0.020 %;0.70 %;0.80 %;1.83 %;0.25 %;0%;7.83 g/cc;NA;NA;NA;NA;NA;10 %;NA;NA;NA;NA;1861 MPa @Strain 0.200 %;1964 MPa
