Iron, Fe;Carbon, C;Sulfur, S;Silicon, Si;Phosphorous, P;Manganese, Mn;Chromium, Cr;Nickel, Ni;Molybdenum, Mo;Copper, Cu;Density;Hardness, Vickers;Thermal Conductivity;Specific Heat Capacity;CTE, linear;Electrical Resistivity;Elongation at Break;Bulk Modulus;Modulus of Elasticity;Shear Modulus;Poissons Ratio;Tensile Strength, Yield;Tensile Strength, Ultimate
3.0 %;<= 0.0300 %;<= 0.0150 %;<= 0.500 %;<= 0.0100 %;<= 0.500 %;21 %;>= 62.945 %;8.5 %;0%;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;411;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;11.5 %;160 GPa;205 GPa;80.0 GPa;0.29;1033 MPa;1300 MPa
96.485 - 97.93 %;0.37 - 0.44 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;368;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
96.692 - 98.0795 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;163;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;29 %;160 GPa;205 GPa;80.0 GPa;0.29;370 MPa;565 MPa
95.855 - 96.98 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.45 - 0.65 %;0.40 - 0.60 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;211;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;22.3 %;160 GPa;205 GPa;80.0 GPa;0.29;395 MPa;703 MPa
93.67 - 95.35 %;0.070 - 0.13 %;<= 0.050 %;0.15 - 0.30 %;0%;0.40 - 0.70 %;1.0 - 1.45 %;2.95 - 3.55 %;0.080 - 0.15 %;0%;7.85 g/cc;350;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;15.5 %;160 GPa;200 GPa;80.0 GPa;0.29;896 MPa;1069 MPa
96.425 - 97.6 %;0.55 - 0.65 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;208;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
93.77 - 95.19 %;0.080 - 0.13 %;<= 0.025 %;0.20 - 0.35 %;<= 0.025 %;0.45 - 0.65 %;1.0 - 1.4 %;3.0 - 3.5 %;0.080 - 0.15 %;0%;7.85 g/cc;301;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;20 %;160 GPa;200 GPa;80.0 GPa;0.29;605 MPa;917 MPa
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;292;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;15 %;160 GPa;205 GPa;80.0 GPa;0.29;710 MPa;903 MPa
96.745 - 98.02 %;0.28 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.40 - 0.60 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;196;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;23.5 %;160 GPa;205 GPa;80.0 GPa;0.29;425 MPa;650 MPa
96.525 - 97.96 %;0.19 - 0.25 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.30 - 0.40 %;0%;7.85 g/cc;455;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;13.3 %;160 GPa;200 GPa;80.0 GPa;0.29;1093 MPa @Strain 0.200 %;1510 MPa
96.695 - 98.08 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;281;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
95.74 %;0.46 %;0%;0.25 %;0%;0.75 %;1.1 %;0.60 %;1.0 %;0%;7.86 g/cc;NA;NA;NA;13.16 µm/m-°C @Temperature 38.0 - 93.0 °C;NA;7.0 %;NA;210 GPa;NA;NA;1345 MPa;1570 MPa
96.545 - 97.87 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
95.745 - 97.18 %;0.17 - 0.23 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.40 - 0.70 %;0.35 - 0.65 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;223;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;23.3 %;160 GPa;205 GPa;80.0 GPa;0.29;405 MPa;703 MPa
95.33 - 97.13 %;<= 0.070 %;<= 0.025 %;<= 0.40 %;<= 0.025 %;0.40 - 0.70 %;0.60 - 0.90 %;0.70 - 1.0 %;0.15 - 0.25 %;1.0 - 1.3 %;7.85 g/cc;NA;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;20 %;160 GPa;205 GPa;80.0 GPa;0.29;515 MPa;585 MPa
93.77 - 95.19 %;0.080 - 0.13 %;<= 0.025 %;0.20 - 0.35 %;<= 0.025 %;0.45 - 0.65 %;1.0 - 1.4 %;3.0 - 3.5 %;0.080 - 0.15 %;0%;7.85 g/cc;397;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;15 %;160 GPa;200 GPa;80.0 GPa;0.29;1117 MPa;1289 MPa
>= 95.635 %;<= 0.20 %;<= 0.040 %;<= 0.64 %;<= 0.035 %;<= 1.5 %;<= 0.70 %;<= 0.50 %;<= 0.10 %;<= 0.50 %;7.80 g/cc;NA;NA;NA;NA;NA;>= 15 %;NA;NA;NA;NA;>= 448 MPa;NA
85.2 %;0.30 %;0%;0.10 %;0%;0.30 %;1.0 %;7.5 %;1.0 %;0%;7.75 g/cc;NA;NA;NA;11.3 µm/m-°C @Temperature 20.0 - 427 °C;NA;15 %;NA;NA;NA;NA;1310 - 1340 MPa @Strain 0.200 %;1590 - 1600 MPa
94.6 %;0.15 %;0%;0.25 %;0%;0.50 %;1.0 %;3.25 %;0.25 %;0%;NA;NA;NA;NA;NA;NA;13 %;NA;NA;NA;NA;931 MPa;827 MPa
93.77 - 95.19 %;0.080 - 0.13 %;<= 0.025 %;0.20 - 0.35 %;<= 0.025 %;0.45 - 0.65 %;1.0 - 1.4 %;3.0 - 3.5 %;0.080 - 0.15 %;0%;7.85 g/cc;284;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;18.8 %;160 GPa;200 GPa;80.0 GPa;0.29;570 MPa;910 MPa
96.485 - 97.93 %;0.37 - 0.44 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;299;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;22 %;160 GPa;205 GPa;80.0 GPa;0.29;814 MPa;945 MPa
96.745 - 98.02 %;0.28 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.40 - 0.60 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;284;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;19.2 %;160 GPa;205 GPa;80.0 GPa;0.29;738 MPa;895 MPa
96.745 - 98.02 %;0.28 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.40 - 0.60 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;247;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;21.2 %;160 GPa;205 GPa;80.0 GPa;0.29;595 MPa;780 MPa
96.975 - 98.05 %;0.15 - 0.20 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;269;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;19 %;160 GPa;205 GPa;80.0 GPa;0.29;650 MPa;883 MPa
96.745 - 98.02 %;0.28 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.40 - 0.60 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;211;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;25.2 %;160 GPa;205 GPa;80.0 GPa;0.29;425 MPa;655 MPa
0%;<= 0.400 %;<= 0.00200 %;0%;0%;<= 1.30 %;0.70 %;0.45 %;<= 0.340 %;0%;7.85 g/cc;NA;NA;NA;11.0 µm/m-°C @Temperature 20.0 - 100 °C;NA;10 %;NA;205 GPa;NA;NA;1200 MPa @Strain 0.200 %;1630 MPa
95.175 - 96.27 %;0.38 - 0.43 %;<= 0.020 %;0.15 - 0.30 %;<= 0.025 %;0.65 - 0.85 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;531;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;12 %;160 GPa;196 GPa;75.0 GPa;0.30;1550 MPa;1855 MPa
93.5 %;<= 0.10 %;<= 0.030 %;0.50 %;<= 0.030 %;<= 0.60 %;5.5 %;<= 0.60 %;0.50 %;<= 0.35 %;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96.435 - 97.88 %;0.37 - 0.44 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.20 - 0.30 %;0%;7.85 g/cc;350;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;15.7 %;160 GPa;205 GPa;80.0 GPa;0.29;1060 MPa;1180 MPa
0%;0.025 %;0%;0.95 %;0%;0.75 %;19 %;9.5 %;0%;0%;NA;NA;NA;NA;NA;NA;40 %;NA;NA;NA;NA;440 MPa @Strain 0.200 %;600 MPa
96.31 - 97.39 %;0.16 - 0.21 %;<= 0.040 %;0.20 - 0.35 %;<= 0.040 %;0.70 - 0.90 %;0.35 - 0.55 %;0.90 - 1.2 %;0.30 - 0.40 %;0%;7.85 g/cc;350;44.5 W/m-K;0.475 J/g-°C;NA;0.0000245 ohm-cm;16.5 %;160 GPa;205 GPa;80.0 GPa;0.29;724 MPa;1096 MPa
72.65 %;0.15 %;0%;0.10 %;0%;0.10 %;2.0 %;10 %;1.0 %;0%;7.83 g/cc;NA;NA;NA;NA;NA;16 %;NA;203 GPa;NA;NA;1524 MPa;1680 MPa
96.745 - 98.18 %;0.17 - 0.23 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.20 - 0.30 %;0%;7.85 g/cc;217;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
96.645 - 97.77 %;0.38 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;230;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;22 %;160 GPa;205 GPa;80.0 GPa;0.29;635 MPa;772 MPa
95.855 - 96.98 %;0.17 - 0.22 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.45 - 0.65 %;0.40 - 0.60 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;301;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;17.8 %;160 GPa;205 GPa;80.0 GPa;0.29;724 MPa;1025 MPa
96.12 %;0.11 - 0.15 %;0.015 %;0.50 %;0.015 %;0.30 - 0.60 %;2.0 - 2.5 %;0.25 %;0%;0.25 %;7.80 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;20 %;160 GPa;200 GPa;80.0 GPa;0.29;515 MPa;655 - 795 MPa
96.745 - 98.22 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;301;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;15 %;160 GPa;205 GPa;80.0 GPa;0.29;772 MPa;938 MPa
96.695 - 98.08 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;196;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;24.5 %;160 GPa;205 GPa;80.0 GPa;0.29;385 MPa;635 MPa
96.745 - 98.02 %;0.28 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.40 - 0.60 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;281;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
96.745 - 98.02 %;0.28 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.40 - 0.60 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;332;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
93.67 - 95.35 %;0.070 - 0.13 %;<= 0.050 %;0.15 - 0.30 %;0%;0.40 - 0.70 %;1.0 - 1.45 %;2.95 - 3.55 %;0.080 - 0.15 %;0%;7.85 g/cc;361;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;16 %;160 GPa;200 GPa;80.0 GPa;0.29;965 MPa;1131 MPa
96.625 - 97.75 %;0.40 - 0.45 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;247 @Diameter 102 mm;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;19.2 % @Diameter 25.4 mm;160 GPa;205 GPa;80.0 GPa;0.29;625 MPa @Diameter 102 mm;807 MPa @Diameter 102 mm
95.745 - 97.18 %;0.17 - 0.23 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.40 - 0.70 %;0.35 - 0.65 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;440;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;12.5 %;160 GPa;205 GPa;80.0 GPa;0.29;1195 MPa;1460 MPa
82.4 - 86.7 %;<= 0.030 %;<= 0.015 %;1.0 - 2.5 %;<= 0.040 %;1.5 %;10.5 - 12.5 %;0.30 - 1.0 %;0%;0%;7.70 g/cc;160 - 170;25.0 W/m-K @Temperature 20.0 °C;0.460 J/g-°C @Temperature 20.0 °C;10.5 µm/m-°C @Temperature 20.0 - 100 °C;NA;>= 20 % @Diameter <=3.00 mm;NA;220 GPa;NA;NA;>= 280 MPa;450 - 650 MPa
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;294;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
96.96 %;0.20 %;0.025 %;0.15 - 0.55 %;0.030 %;1.6 %;0.25 %;0.25 %;0.080 %;>= 0.35 %;7.80 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;20 %;160 GPa;200 GPa;80.0 GPa;0.29;315 MPa;485 - 620 MPa
96.975 - 98.05 %;0.15 - 0.20 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;256;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;23 %;160 GPa;205 GPa;80.0 GPa;0.29;550 MPa;820 MPa
96.625 - 97.75 %;0.40 - 0.45 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;301 @Diameter 102 mm;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;15 % @Diameter 25.4 mm;160 GPa;205 GPa;80.0 GPa;0.29;814 MPa @Diameter 102 mm;972 MPa @Diameter 102 mm
95.745 - 97.18 %;0.17 - 0.23 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.40 - 0.70 %;0.35 - 0.65 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;319;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -18.0 - 95.0 °C;0.0000245 ohm-cm;17 %;160 GPa;205 GPa;80.0 GPa;0.29;738 MPa;1050 MPa
96.327 - 97.8295 %;0.47 - 0.54 %;<= 0.045 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;301 @Diameter 102 mm;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;14.5 % @Diameter 25.4 mm;160 GPa;205 GPa;80.0 GPa;0.29;779 MPa @Diameter 102 mm;986 MPa @Diameter 102 mm
95.195 - 96.33 %;0.37 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.60 - 0.80 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;372;44.5 W/m-K;0.475 J/g-°C;12.3 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;14.2 %;159 GPa;200 GPa;78.0 GPa;0.29;1145 MPa;1207 MPa
0%;0.070 %;0%;0.70 %;0%;1.3 %;28 %;35 %;0%;0%;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
96.595 - 97.72 %;0.38 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.20 - 0.30 %;0%;7.85 g/cc;211;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;22.2 %;160 GPa;205 GPa;80.0 GPa;0.29;415 MPa;695 MPa
93.77 - 95.19 %;0.080 - 0.13 %;<= 0.025 %;0.20 - 0.35 %;<= 0.025 %;0.45 - 0.65 %;1.0 - 1.4 %;3.0 - 3.5 %;0.080 - 0.15 %;0%;7.85 g/cc;254;51.9 W/m-K;0.472 J/g-°C;11.5 µm/m-°C @Temperature 20.0 °C;0.0000174 ohm-cm;17.3 %;160 GPa;200 GPa;80.0 GPa;0.29;440 MPa;820 MPa
96.435 - 97.88 %;0.37 - 0.44 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.70 - 1.05 %;0.35 - 0.65 %;0.35 - 0.75 %;0.20 - 0.30 %;0%;7.85 g/cc;284;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;16 %;160 GPa;205 GPa;80.0 GPa;0.29;550 MPa;930 MPa
96.692 - 98.0795 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;211;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;25.2 %;160 GPa;205 GPa;80.0 GPa;0.29;425 MPa;655 MPa
96.745 - 98.22 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;372;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;14.6 %;160 GPa;205 GPa;80.0 GPa;0.29;965 MPa;1225 MPa
5.0 %;0.0050 %;<= 0.0300 %;0.040 %;<= 0.0300 %;0.30 %;16 %;56 %;15.5 %;0%;NA;250;NA;NA;NA;NA;40 %;NA;NA;NA;NA;470 MPa @Strain 0.200 %;750 MPa
96.695 - 98.08 %;0.27 - 0.33 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.65 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;332;46.6 W/m-K;0.475 J/g-°C;11.2 µm/m-°C @Temperature 21.0 - 100 °C;0.0000234 ohm-cm;NA;160 GPa;205 GPa;80.0 GPa;0.29;NA;NA
97.445 - 98.44 %;0.13 - 0.18 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.30 - 0.50 %;0.20 - 0.40 %;0.080 - 0.15 %;0%;7.85 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;NA;NA;200 GPa;78.0 GPa;0.29;NA;NA
96.6 %;0.15 %;0%;0.25 %;0%;0.90 %;0.80 %;0.10 %;1.2 %;0%;NA;NA;NA;NA;NA;NA;>= 11 %;NA;NA;NA;NA;>= 440 MPa @Diameter 63.0 mm;690 - 980 MPa @Diameter 63.0 mm
95.175 - 96.27 %;0.38 - 0.43 %;<= 0.020 %;0.15 - 0.30 %;<= 0.025 %;0.65 - 0.85 %;0.70 - 0.90 %;1.65 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;323;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;NA;159 GPa;200 GPa;78.0 GPa;0.29;NA;NA
96.12 %;0.11 - 0.15 %;0.015 %;0.50 %;0.015 %;0.30 - 0.60 %;2.0 - 2.5 %;0.25 %;0%;0.25 %;7.80 g/cc;NA;52.0 W/m-K;0.470 J/g-°C;12.0 µm/m-°C;0.0000170 ohm-cm;14 %;160 GPa;200 GPa;80.0 GPa;0.29;585 MPa;725 - 860 MPa
67.6 %;<= 0.030 %;<= 0.030 %;<= 0.75 %;<= 0.040 %;<= 2.0 %;16.5 %;11 %;2.1 %;0%;8.00 g/cc;NA;14.0 W/m-K @Temperature 20.0 °C;0.485 J/g-°C @Temperature 20.0 °C;16.5 µm/m-°C @Temperature 30.0 - 100 °C;NA;>= 35 %;NA;200 GPa;NA;NA;>= 220 MPa @Strain 0.200 %;515 - 690 MPa @Thickness 10.0 mm
>= 96.7 %;<= 0.20 %;<= 0.050 %;0.15 - 0.50 %;<= 0.040 %;0.70 - 1.6 %;<= 0.25 %;<= 0.25 %;<= 0.080 %;<= 0.35 %;7.75 g/cc;NA;NA;NA;NA;NA;>= 18 %;NA;205 GPa;80.0 GPa;0.28;>= 317 MPa;NA
96.21 - 97.65 %;0.15 - 0.21 %;<= 0.040 %;0.15 - 0.30 %;<= 0.040 %;0.60 - 0.95 %;0.30 - 0.60 %;0.85 - 1.25 %;0.30 - 0.40 %;0%;7.85 g/cc;372;44.5 W/m-K;0.475 J/g-°C;NA;0.0000245 ohm-cm;13 %;160 GPa;205 GPa;80.0 GPa;0.29;841 MPa;1172 MPa
95.035 - 96.53 %;0.37 - 0.44 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.55 - 0.90 %;0.65 - 0.95 %;1.55 - 2.0 %;0.20 - 0.30 %;0%;7.85 g/cc;384;44.5 W/m-K;0.475 J/g-°C;11.3 µm/m-°C @Temperature -70.0 - 20.0 °C;0.0000248 ohm-cm @Temperature 20.0 °C;12.2 %;159 GPa;200 GPa;78.0 GPa;0.29;860 MPa;1280 MPa
96.745 - 98.22 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.60 - 0.95 %;0.35 - 0.65 %;0.35 - 0.75 %;0.15 - 0.25 %;0%;7.85 g/cc;411;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;11.5 %;160 GPa;205 GPa;80.0 GPa;0.29;1033 MPa;1300 MPa
>= 95.31 %;<= 0.070 %;<= 0.025 %;<= 0.40 %;<= 0.025 %;0.40 - 0.70 %;0.60 - 0.90 %;0.70 - 1.0 %;0.15 - 0.25 %;1.0 - 1.3 %;7.80 g/cc;NA;NA;NA;NA;NA;>= 20 %;NA;NA;NA;NA;>= 552 MPa;NA
96.895 - 98.02 %;0.18 - 0.23 %;<= 0.040 %;0.15 - 0.35 %;<= 0.035 %;0.70 - 0.90 %;0.40 - 0.60 %;0.40 - 0.70 %;0.15 - 0.25 %;0%;7.85 g/cc;350;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;15 %;160 GPa;205 GPa;80.0 GPa;0.29;924 MPa;1110 MPa
96.595 - 97.72 %;0.38 - 0.43 %;<= 0.040 %;0.15 - 0.30 %;<= 0.035 %;0.75 - 1.0 %;0.40 - 0.60 %;0.40 - 0.70 %;0.20 - 0.30 %;0%;7.85 g/cc;292;46.6 W/m-K;0.475 J/g-°C;NA;0.0000234 ohm-cm;18 %;160 GPa;205 GPa;80.0 GPa;0.29;745 MPa;958 MPa
