Iron, Fe;Carbon, C;Sulfur, S;Silicon, Si;Phosphorous, P;Manganese, Mn;Chromium, Cr;Nickel, Ni;Molybdenum, Mo;Copper, Cu;Density;Hardness, Vickers;Thermal Conductivity;Specific Heat Capacity;CTE, linear;Electrical Resistivity;Elongation at Break;Bulk Modulus;Modulus of Elasticity;Shear Modulus;Poissons Ratio;Tensile Strength, Yield;Tensile Strength, Ultimate
0.0;0.2;0.005;0.0;0.0;1.6;1.9;0.2;0.4;0.0;7.85;NA;NA;NA;12.5;NA;12.0;NA;205.0;NA;NA;900.0;1200.0
94.50999999999999;0.1;0.05;0.22499999999999998;0.0;0.55;1.225;3.25;0.11499999999999999;0.0;7.85;284.0;51.9;0.472;11.5;1.74e-05;18.8;160.0;200.0;80.0;0.29;570.0;910.0
95.7225;0.405;0.02;0.22499999999999998;0.025;0.75;0.8;1.825;0.25;0.0;7.85;NA;44.5;0.475;11.3;2.48e-05;12.0;160.0;212.0;81.5;0.3;1475.0;1595.0
95.0;0.175;0.04;0.25;0.035;1.125;1.25;1.35;0.5;0.0;7.85;NA;46.6;0.452;NA;NA;18.0;160.0;205.0;80.0;0.29;690.0;828.0
97.4825;0.20500000000000002;0.04;0.25;0.035;0.7749999999999999;0.5;0.55;0.2;0.0;7.85;188.0;46.6;0.475;NA;2.34e-05;27.8;160.0;205.0;80.0;0.29;360.0;600.0
97.1875;0.42500000000000004;0.04;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;276.0;46.6;0.475;NA;2.34e-05;17.2;160.0;205.0;80.0;0.29;731.0;896.0
95.76249999999999;0.4;0.04;0.22499999999999998;0.035;0.7;0.8;1.825;0.25;0.0;7.85;301.0;44.5;0.475;10.4;2.48e-05;20.0;159.0;200.0;78.0;0.29;938.0;1000.0
0.0;0.015;0.02;0.2;0.02;1.8;21.0;11.5;0.3;0.1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
97.07825;0.505;0.045;0.25;0.035;0.875;0.5;0.55;0.2;0.0;7.85;269.0;46.6;0.475;NA;2.34e-05;17.7;160.0;205.0;80.0;0.29;675.0;869.0
95.7475;0.405;0.02;0.22499999999999998;0.025;0.7749999999999999;0.8;1.775;0.25;0.0;7.85;NA;44.5;0.475;11.3;2.48e-05;20.0;160.0;213.0;82.0;0.3;938.0;1005.0
97.105;0.505;0.045;0.22499999999999998;0.035;0.875;0.5;0.55;0.2;0.0;7.85;269.0;46.6;0.475;NA;2.34e-05;22.0;160.0;205.0;80.0;0.29;675.0;869.0
95.22;0.175;0.04;0.25;0.035;1.125;1.25;1.35;0.5;0.0;7.75;NA;52.0;0.47;12.0;1.7e-05;14.0;160.0;200.0;80.0;0.29;620.0;827.5
0.0;0.02;0.015;0.4;0.025;1.5;24.0;17.0;2.8;0.0;NA;NA;NA;NA;NA;NA;30.0;NA;NA;NA;NA;450.0;650.0
97.45;0.2;0.0;0.3;0.0;0.8;0.5;0.55;0.2;0.0;7.83;NA;NA;NA;NA;NA;NA;NA;207.0;NA;NA;NA;NA
95.76249999999999;0.4;0.04;0.22499999999999998;0.035;0.7;0.8;1.825;0.25;0.0;7.85;350.0;44.5;0.475;12.3;2.48e-05;15.5;159.0;200.0;78.0;0.29;1000.0;1138.0
95.7225;0.405;0.02;0.22499999999999998;0.025;0.75;0.8;1.825;0.25;0.0;7.85;228.0;44.5;0.475;11.3;2.48e-05;22.0;152.0;192.0;74.0;0.29;475.0;745.0
97.51249999999999;0.175;0.04;0.22499999999999998;0.035;0.8;0.5;0.55;0.2;0.0;7.85;261.0;46.6;0.475;NA;2.34e-05;19.0;160.0;205.0;80.0;0.29;625.0;834.0
9.0;0.03;0.01;0.2;0.01;0.9;29.5;58.5;0.1;0.0;8.1;NA;11.0;NA;15.0;NA;32.0;NA;NA;NA;NA;330.0;520.0
